contig_id	contig_length	viral_length	aai_expected_length	aai_completeness	aai_confidence	aai_error	aai_num_hits	aai_top_hit	aai_id	aai_af	hmm_completeness_lower	hmm_completeness_upper	hmm_num_hits	kmer_freq
contig_1	39266	NA	34311.4599664252	100.0	high	2.86303136136126	9	CheckV-056605	69.12	47.05	94.3998774902507	100.00000000000001	22	1.0
contig_2	11397	NA	40557.31639598263	28.10097169330691	low	31.599535415135	5	CheckV-044271	94.37	11.74	23.10029167027553	29.089322021735267	8	1.0
contig_3	41137	NA	40464.45533581068	100.0	low	24.1584792489964	23	CheckV-060243	83.93	13.81	94.14402235416233	99.99405962080415	26	1.0
contig_4	32457	NA	40835.175464418506	79.48294486522096	medium	7.7631262437403	19	CheckV-053403	59.49	13.85	50.08984680644172	90.67795323260903	20	1.0
contig_5	58829	NA	60680.80193628039	96.948290271073	high	2.44691890689706	6	CheckV-059810	86.47	75.4	87.46273879874634	100.00000000000001	34	1.0
