contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
contig_1	39266	No	NA	66	23	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
contig_2	11397	No	NA	24	11	0	Low-quality	Genome-fragment	23.1	HMM-based (lower-bound)	0.0	1.0	
contig_3	41137	No	NA	94	41	0	High-quality	High-quality	94.14	HMM-based (lower-bound)	0.0	1.0	
contig_4	32457	No	NA	65	25	0	Medium-quality	Genome-fragment	79.48	AAI-based (medium-confidence)	0.0	1.0	
contig_5	58829	No	NA	84	37	0	High-quality	High-quality	96.95	AAI-based (high-confidence)	0.0	1.0	
